time,Forecast
2016-01-01,586026.7470792157
2016-02-01,586630.1074413562
2016-03-01,587437.0000104344
2016-04-01,588926.2282028547
2016-05-01,590631.489035794
2016-06-01,593000.0217555327
2016-07-01,596095.9922699303
2016-08-01,599269.7512162158
2016-09-01,602536.5477491332
2016-10-01,606257.2141066891
2016-11-01,610773.5331818208
2016-12-01,616941.3980519199
2017-01-01,624119.1773913865
2017-02-01,631023.3094613951
2017-03-01,637031.4095645687
2017-04-01,642403.1271066602
2017-05-01,647765.3969122655
2017-06-01,653867.9145736282
2017-07-01,660243.7436558497
2017-08-01,666834.0285196261
2017-09-01,673932.682621155
2017-10-01,680384.9312842685
2017-11-01,686331.6656258552
2017-12-01,693018.5496481584
2018-01-01,700602.6184782116
2018-02-01,708031.9559919694
2018-03-01,714441.0462338029
2018-04-01,720189.6100087413
